% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1048	1	1	2	0	4	903	0	1	0
1052	1	1	2	0	4	903	0	1	0
1087	1	2	1	0	2	573	0	1	0
1128	1	1	2	0	10	2196	0	1	0
1136	1	2	1	0	2	573	0	1	0
1137	1	1	2	0	16	1908	0	1	0
1137	1	2	1	0	8	871	0	1	0
1146	1	2	1	0	2	573	0	1	0
1147	1	2	1	0	2	573	0	1	0
1171	1	2	1	0	8	1764	0	1	0
1176	1	2	1	0	8	1764	0	1	0
1177	1	1	2	0	2	573	0	1	0
1185	1	2	1	0	8	1764	0	1	0
1186	1	2	1	0	8	1764	0	1	0
1187	1	2	1	0	8	1764	0	1	0
1188	1	2	1	0	8	1764	0	1	0
1196	1	2	1	0	8	1764	0	1	0
1197	1	2	1	0	8	1764	0	1	0
1206	1	2	1	0	8	1764	0	1	0
1226	1	1	2	0	22	2865	0	1	0
1226	1	2	1	0	8	871	0	1	0
1275	1	1	2	0	18	2292	0	1	0
1276	1	1	2	0	18	2292	0	1	0
1287	1	2	1	0	6	1287	0	1	0
1288	1	2	1	0	6	1287	0	1	0
1289	1	2	1	0	6	1287	0	1	0
1290	1	2	1	0	6	1287	0	1	0
1305	1	2	1	0	6	1287	0	1	0
1310	1	2	1	0	6	1287	0	1	0
1324	1	1	2	0	14	3182	0	1	0
1325	1	1	2	0	14	3182	0	1	0
1367	1	2	1	0	6	1287	0	1	0
1368	1	2	1	0	6	1287	0	1	0
1369	1	2	1	0	6	1287	0	1	0
1370	1	2	1	0	6	1287	0	1	0
1371	1	2	1	0	6	1287	0	1	0
1372	1	2	1	0	6	1287	0	1	0
1373	1	2	1	0	16	1908	0	1	0
1374	1	2	1	0	16	1908	0	1	0
1375	1	2	1	0	16	1908	0	1	0
1376	1	2	1	0	16	1908	0	1	0
1377	1	2	1	0	16	1908	0	1	0
1378	1	2	1	0	16	1908	0	1	0
1385	1	2	1	0	16	1908	0	1	0
1386	1	2	1	0	16	1908	0	1	0
1387	1	2	1	0	16	1908	0	1	0
1388	1	2	1	0	16	1908	0	1	0
1399	1	2	1	0	16	1908	0	1	0
1400	1	2	1	0	16	1908	0	1	0
1401	1	2	1	0	16	1908	0	1	0
1402	1	2	1	0	16	1908	0	1	0
1403	1	2	1	0	16	1908	0	1	0
1404	1	2	1	0	16	1908	0	1	0
1408	1	1	2	0	12	2481	0	1	0
1415	1	1	2	0	12	2481	0	1	0
1416	1	2	1	0	0	349	0	1	0
1417	1	2	1	0	0	349	0	1	0
1418	1	2	1	0	0	349	0	1	0
1419	1	2	1	0	0	349	0	1	0
1420	1	2	1	0	0	349	0	1	0
1421	1	2	1	0	0	349	0	1	0
1422	1	2	1	0	0	349	0	1	0
1423	1	2	1	0	0	349	0	1	0
1424	1	2	1	0	0	349	0	1	0
1425	1	2	1	0	0	349	0	1	0
1426	1	2	1	0	0	349	0	1	0
1427	1	2	1	0	0	349	0	1	0
1428	1	2	1	0	0	349	0	1	0
1429	1	2	1	0	0	349	0	1	0
1430	1	2	1	0	0	349	0	1	0
1431	1	2	1	0	0	349	0	1	0
1432	1	2	1	0	0	349	0	1	0
1433	1	2	1	0	0	349	0	1	0
1434	1	2	1	0	0	349	0	1	0
1435	1	2	1	0	0	349	0	1	0
1436	1	2	1	0	0	349	0	1	0
1437	1	2	1	0	0	349	0	1	0
1438	1	2	1	0	0	349	0	1	0
1439	1	2	1	0	0	349	0	1	0
1440	1	2	1	0	0	349	0	1	0
1441	1	2	1	0	0	349	0	1	0
1442	1	2	1	0	0	349	0	1	0
1443	1	2	1	0	0	349	0	1	0
1444	1	2	1	0	0	349	0	1	0
1445	1	2	1	0	0	349	0	1	0
1446	1	2	1	0	0	349	0	1	0
1447	1	2	1	0	8	1764	0	1	0
1448	1	2	1	0	8	1764	0	1	0
1449	1	2	1	0	8	1764	0	1	0
1450	1	2	1	0	8	1764	0	1	0
1451	1	2	1	0	8	1764	0	1	0
1452	1	2	1	0	8	1764	0	1	0
1453	1	2	1	0	8	1764	0	1	0
1454	1	2	1	0	8	1764	0	1	0
1465	1	1	2	0	12	1239	0	1	0
1465	1	2	1	0	8	871	0	1	0
1466	1	2	1	0	8	1764	0	1	0
1467	1	2	1	0	8	1764	0	1	0
1468	1	2	1	0	8	1764	0	1	0
1469	1	2	1	0	8	1764	0	1	0
1470	1	2	1	0	8	1764	0	1	0
1471	1	2	1	0	8	1764	0	1	0
1472	1	2	1	0	8	1764	0	1	0
1473	1	2	1	0	8	1764	0	1	0
1474	1	2	1	0	8	1764	0	1	0
1475	1	2	1	0	8	1764	0	1	0
1476	1	2	1	0	8	1764	0	1	0
1477	1	2	1	0	8	1764	0	1	0
1478	1	2	1	0	8	1764	0	1	0
1479	1	1	2	0	12	1239	0	1	0
1479	1	2	1	0	8	871	0	1	0
1480	1	2	1	0	8	1764	0	1	0
1481	1	2	1	0	8	1764	0	1	0
1482	1	2	1	0	8	1764	0	1	0
1483	1	2	1	0	8	1764	0	1	0
1484	1	2	1	0	8	1764	0	1	0
1485	1	2	1	0	8	1764	0	1	0
1486	1	2	1	0	8	1764	0	1	0
1487	1	2	1	0	2	573	0	1	0
1488	1	2	1	0	2	573	0	1	0
1489	1	2	1	0	2	573	0	1	0
1490	1	2	1	0	2	573	0	1	0
1491	1	2	1	0	2	573	0	1	0
1492	1	2	1	0	2	573	0	1	0
1493	1	2	1	0	2	573	0	1	0
1494	1	2	1	0	2	573	0	1	0
1495	1	2	1	0	2	573	0	1	0
1496	1	2	1	0	2	573	0	1	0
1497	1	2	1	0	2	573	0	1	0
1498	1	2	1	0	2	573	0	1	0
1499	1	2	1	0	2	573	0	1	0
1500	1	2	1	0	2	573	0	1	0
1501	1	2	1	0	2	573	0	1	0
1502	1	2	1	0	2	573	0	1	0
1514	1	2	1	0	2	277	0	1	0
1515	1	2	1	0	2	277	0	1	0
1516	1	2	1	0	2	277	0	1	0
1517	1	2	1	0	2	277	0	1	0
1518	1	2	1	0	2	277	0	1	0
1519	1	2	1	0	2	277	0	1	0
1520	1	2	1	0	2	277	0	1	0
1521	1	2	1	0	2	277	0	1	0
1522	1	2	1	0	2	277	0	1	0
1523	1	2	1	0	2	277	0	1	0
1524	1	2	1	0	2	277	0	1	0
